entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;mano_obra;expediente-numero;financiamiento
Villa Olí­mpica;Villa Olí­mpica: Viviendas I;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la licitación nº 1 contempló la construcción de 3 edificios de uso mixto. se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.;154853715.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2015-06-01;2017-12-20;30;100;Cavcon S.A.;2015;Licitación Pública;1876/2014;33707292259;41;15282589-DGPUYA-2D14;Mixto Nación / Préstamo BID AR-L1260
Villa Olí­mpica;Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios Villa Olí­mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;la obra consiste en la provisión y colocación de equipamiento en las cocinas, sum, espacios de parrilla, lavaderos y locales de los 29 edificios de villa olí­mpica;58565032.00;8;villa lugano;escalada av. 4200;2018-08-07;2019-05-04;9;100;CALELLO HERMANOS SA;2018;Licitación Pública;04-CBAS-2018;30500716858;39;04-CBAS-2018;Mixto / CAF / Nación / GCBA
Parque Olí­mpico;Parque Olí­mpico: Demolición total, extracción y trasplante de árboles, cerco perimetral;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;se procedió a la contrucción de un cerco olí­mpico perimetral que ayudó a delimitar el área de intervención, resguardando la ejecución de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. además, incluyó también las tareas de demolición de los edificios y equipamientos obsoletos existentes, la extracción y trasplante de los árboles y arbustos dentro del mismo predio.;48590604.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2016-12-28;2017-03-30;3;100;Salvatori S.A Parques Y Jardines;2016;Licitación Pública;880-SIGAF/16;30512700124;47;20515970-DGIURB-2016;Mixto Nación / Préstamo BID AR-L1260
Parque Olí­mpico;Parque Olí­mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagí¼es cloacales, desagí¼es pluviales y red de gas para los pabellones y equipamientos deportivos del parque olí­mpico.;42340809.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2017-01-30;2018-04-16;15;100;Tecma S.A.;2016;Licitación Pública;1032-SIGAF/16;30623866528;46;20-669-375-DGIURB-2016;Nación / Fuente 11
Parque Olí­mpico;Parque Olí­mpico: Pabellones A1 Y A2.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.;194988604.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2017-02-15;2017-12-31;10;100;Constructora Sudamericana S.A.;2016;Licitación Pública;1192-SIGAF/16;30610895456;27;2016-24004377-MGEYA-DGIURB;Mixto / Nación / GCBA
Parque Olí­mpico;Parque Olí­mpico: Pabellones A3 Y A4.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los juegos olí­mpicos.;168646366.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2017-02-15;2018-01-12;11;100;Criba S.A.;2016;Licitación Pública;1191-SIGAF/16;30505454436;33;EX-2016-24004750-MGEYA-DGIURB;Nación / Fuente 11
Parque Olí­mpico;Parque Olí­mpico: Espacio público, equipamiento deportivo exterior;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;se contempló la reacondición y modernización del espacio público y equipamiento deportivo exterior. las áreas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. además, se puso en valor el pórtico de acceso al parque olí­mpico, la construcción de una cabina de control con su sector de servicios y la rehabilitación de la torre tanque acondicionada e incluida al sistema de protección contra incendios.;349706395.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2017-06-07;2018-10-30;16;100;Conorvial S.A;2017;Licitación Pública;266/2017;33504596309;71;27359314-DGIURB-2016;Nación
Parque Olí­mpico;Parque Olí­mpico: Pabellón C.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;se realizaron obras en el pabellón c que consistieron en la ejecución del complejo natatorio, incluyendo una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realización de las competencias, sala de cronometraje, sanitarios, salas de musculación y preparación de deportistas, salas de máquinas y gradas para espectadores.;508091151.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2017-04-25;2018-06-30;14;100;Niro Construcciones S.A.;2017;Licitación Pública;36/ 2017;33588171979;27;EX-2016- 25-688-941í¢Â€Â“MGEYA-DGIURB;GCBA
Villa Olí­mpica;Villa Olimpica: Ejecución Baños En Locales Comerciales En Edificios Villa Olí­mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;la obra consiste en la ejecución de seis núcleos sanitarios en sector de locales comerciales en cinco de los edificios de villa olí­mpica;1686743.00;8;villa lugano;escalada av. 4200;2018-11-19;2019-01-19;2;100;Bosquimano S.A;2018;Contratación Directa;54-CBAS-2018;30711470022;49;54-CBAS-2018;GCBA / FoDUS
Villa Olí­mpica;Villa Olimpica: Readecuación  Locales Planta Baja Edificios UG7 Villa Olí­mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;la obra consiste en la readecuación de locales de planta baja en edifio ug7 de villa olí­mpica;3118410.00;8;villa lugano;escalada av. 4200;2019-02-05;2019-04-06;1;100;CM CONSTRUCCIONES SA;2019;Contratación Directa;57-CBAS-2018;30714322660;37;57-CBAS-2018;Mixto / Nación / GCBA
Villa Olí­mpica;Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olí­mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;la obra consiste en la provisión y colocación de equipamiento de cocina en los edificios ug7 p3 y p4 - villa olí­mpica; 6595600;8;villa lugano;escalada av. 4200;2019-01-02;2019-02-11;1,33;100;MIAVASA SA;2019;Licitación Privada;01-CBAS-2018;30677303863;21;01-CBAS-2018;Internacional
Parque Olí­mpico;Parque Olí­mpico: Pabellón B.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;la obra consistió en la construcción del pabellón c que albergó a la competencia de gimnasia artí­stica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, baños generales, oficinas y los espacios necesarios de logí­stica, enfermerí­a y doping.;283389377.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2017-08-05;2018-06-30;10;100;Criba S.A.;2017;Licitación Pública;35 /17;30505454436;13;24-005-383-DGIURB-2016;GCBA
Parque Olí­mpico;Parque Olí­mpico: Infraestructura eléctrica.;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;la licitación contempló el reacondicionamiento y modernización de las instalaciones existentes en el parque olí­mpico y la ejecución de la nueva red para la distribución de energí­a de los pabellones y edificios administrativos. la obra incluyó una sub estación de entrada de energí­a, grupo electrógeno de emergencia, transformadores elevadores de tensión e instalaciones de alimentación en los edificios.;54936733.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2017-02-13;2018-05-30;15;100;Urban Baires S.A.;2016;Licitación Pública;1035-SIGAF/16;30711290075;15;EX-2016- 20669799-DGIURB;GCBA / FoDUS
Villa Olí­mpica;Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M;Finalizada;Espacio Público;Corporación Buenos Aires Sur;la obra consiste en la nivelación de los terrenos que se encuentran conformados por el espacio urbano de la villa olí­mpica;13671988.00;8;villa lugano;escalada av. 4200;2018-08-06;2018-11-04;3;100;MIAVASA SA;2018;Contratación Directa;45-CBAS-2018;30677303863;15;45-CBAS-2018;GCBA / FoDUS
Villa Olí­mpica;"Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4";Finalizada;Arquitectura;Corporación Buenos Aires Sur;la obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de los edificio ug1-ug2-ug3-ug4 ug5 y ug7 de la villa olí­mpica.;150333723.00;8;villa lugano;escalada av. 4200;2018-11-30;2019-05-29;6;100;CM CONSTRUCCIONES SA;2018;Contratación Directa;41-CBAS-2018;30714322660;63;41-CBAS-2018;GCBA
Paseo Del Bajo;Paseo Del Bajo: Tramo A - Viaductos;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;"la realización de esta obra significó una organización vial que mejoró sustancialmente la circulación de mas de 25.000 vehí­culos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminación visual sonora y del aire y aumentando la seguridad vehicular y de peatones. esta obra tiene más de 6 kilómetros de extensión que conecta el sur con el norte de la ciudad. se encuentra ubicada entre las calles alicia moreau de justo y madero-huergo, y luego en la zona de retiro circulando por av. ramos mejí­a, antártida argentina y castillo. al costado de la trinchera para vehí­culos pesados<sobre las avenidas alicia moreau de justo y madero-huergo, se ubican los carriles para tránsito liviano. hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad máxima de 60 y dos de 40 kilómetros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. el í¢â€âœpaseo del bajo"" contempló además la creación de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos í¢â€âœí‚â´parque lezamaí¢â€âœ y que están ubicados a los costados de los carriles para vehí­culos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. además, se crearon nuevas cicloví­as para facilitar el acceso y fomentar la recreación y la movilidad sustentable en la zona.";1547000000.00;1;puerto madero;huergo, ing. av. y garay, juan de av.;2017-01-02;2019-08-30;31;100;CORSAN CORVIAM CONSTRUCCION SA;2016;Licitación Pública;2016-01-0007-00;30710216386;15;2016-01-0007-00;Mixto Nación / Préstamo BID AR-L1260
Paseo Del Bajo;Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;el tramo b del proyecto contempló el recorrido desde el viaducto sur que conecta con las autopistas 25 de mayo y buenos aires-la plata hasta el comienzo del tramo c en cercaní­as al parque central. se desarrolló en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes.;1640500000.00;1;puerto madero;huergo, ing. av. y garay, juan de av.;2017-01-02;2019-04-30;27;100;Green Seosa Pbt Ute;2016;Licitación Pública;2016-01-0008-00;30715467999;31;2016-01-0008-00;Internacional
Paseo Del Bajo;Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;el tramo c se desarrolló desde el final del tramo b en cercaní­as del parque central hasta el comienzo del viaducto norte en el área de retiro. el primer tramo, al igual que el tramo b, se llevó a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. la segunda parte, a la altura de la plaza cañada en retiro, se llevó a cabo a nivel.;3183200000.00;1;puerto madero;huergo, ing. av. y garay, juan de av.;2017-02-01;2019-04-25;26;100;Iecsa - Fontana Nicastro Ute;2016;Licitación Pública;2016-01-0009-00;30715471457;15;2016-01-0009-00;Mixto / Nación / Préstamo BIRF 8706-AR
Cuenca Radio Antiguo y Ugarteche;Ramal Austria I;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;la obra consistió en un conducto de cuatro metros de diámetro realizado mediante la metodologí­a de túnel de excavación manual con revestimiento metálico tipo linner, que en su primera etapa de ejecución se complementó con ocho cámaras de ataque de 4 metros de diámetro ejecutadas con la misma tecnologí­a.;75368613.00;2;recoleta;del libertador av. y figueroa alcorta, pres. av.;2015-05-26;2018-01-30;32;100;Tecma S.A.;2015;;;30623866528;50;;GCBA
Cuenca Arroyo Cildañez;Ramal Caaguazú -Ampliación Red Pluvial VII;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;los trabajos de la obra hidráulica del ramal caaguazú consistieron en la ampliación de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre av. rivadavia y calle yerbal. constó de dos conductos: el primero se inició en la esquina de la calle yerbal y recorre las calles yerbal y urdaneta hasta av. rivadavia. la segunda comenzó en la esquina de caaguazú desde oliden, pasando por calle ramon l. falcón.;69200043.00;9;liniers;oliden y falcon, ramon l.,cnel.;2016-07-28;2018-04-30;21;100;SES S.A. - CONSTRUERE INGENIERIA S.A. - RED VII - UNION TRANSITORIA DE EMPRESAS;2016;;;30715243489;27;;Mixto Nación / Préstamo BID AR-L1260
Cuenca Larrazábal y Escalada;Ramal Escalada -Ampliación Red Pluvial VI;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;se realizó una obra de mejoramiento y readecuación de la red pluvial vi, para el mejor escurrimiento de las precipitaciones en la comuna 8.;52685356.00;8;villa riachuelo;fernandez de la cruz, f., gral. av. y suarez, jose leon;2016-08-22;2017-12-10;16;100;Altote S.A. - Naku Construcciones S.R.L. - (Ute);2015;;;30712263454;77;;Nación / Fuente 14
Cuenca Arroyo Vega;Red Pluvial IV: Ampliación;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;la obra consistió en la ejecución de conductos circulares con respectivas cámaras, sumideros, nexos y demás componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captación pluvial, complementarios al plan director de ordenamiento hidráulico.;24536126.00;12;coghlan;quesada y perez, roque;2014-06-16;2016-10-31;28;100;Altote S.A. - Naku Construcciones S.R.L. - (Ute);2013;Licitación Pública;2529/2013;30712263454;17;2769136-2013;GCBA
Centro De Exposiciones Y Convenciones;Centro de Exposiciones y Convenciones;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;el equipamiento metropolitano del centro de exposiciones y convenciones se proyectó a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al parque thays y la plaza de las naciones unidas, formando un gran parque público. se ubica en el predio de av. figueroa alcorta al lado de la facultad de derecho constituyendo un enclave estratégico de la ciudad de buenos aires dada su localización y su potencialidad simbólica y espacial. el edificio tiene capacidad para 5.000 asistentes y está conformado por una sala plenaria y otras salas auxiliares divisibles. también cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehí­culos y un foyer de 1.600 mí‚â². a su vez, tiene acceso a la estación facultad de derecho de la lí­nea h.;313660000.00;2;recoleta;couture, eduardo j. y vaz ferreira, carlos, dr.;2014-12-20;2017-04-30;28;100;C.R.I.B.A. SA - MEJORES HOSPITALES SA - UNION TRANSITORIA DE EMPRESAS;2013;Licitación Pública;2.594/2013;30714365440;170;4-150-195-2013;Nación / Fuente 14
Edificio Lezama;Edificio Lezama: Obra Civil;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;la obra del palacio lezama se integró dentro del plan de descentralización administrativa del gobierno porteño al sur de la ciudad. el edificio es patrimonio histórico de la ciudad y un hito de la memoria urbana del barrio de barracas que se encuentra ubicado sobre la av. martí­n garcí­a, entre la calle irala y av. regimiento de los patricios. posee una superficie aproximada de 30.000 m2 distribuidos en planta baja y 6 pisos, con acceso de vehí­culos por calle pilcomayo. fue remodelado y restaurado í­ntegramente, restaurando la fachada original para satisfacer los requerimientos tecnológicos, funcionales y de seguridad de las dependencias que trabajaban allí­. el edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al ministerio de modernización, ministerio de desarrollo urbano y transporte, ministerio de ambiente y espacio público y sindicatura general.;52831053.00;4;la boca;garcia, martin av. 346;2015-03-13;2016-12-30;21;100;SES SA;2014;Licitación Pública;1816/SIGAF/2014;30647727545;60;1816-SIGAF-2014;Nación
Cuenca Arroyo Vega;Arroyo Vega - Mejora de la Eficiencia Hidraulica;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;se llevó adelante la obra que implicó entabicar las columnas y las vigas para la mejora de la eficiencia hidráulica del conducto, asegurando el desplazamiento del fluido de la manera más eficaz posible. la obra se ejecutó entre las calles 11 de septiembre y balbí­n, bajo la calle blanco encalada.;20356959.00;13;belgrano;av. rafael obligado 6125;2014-12-22;2016-09-30;21;100;Tecma S.A.;2014;Licitación Pública;1459/2014;30623866528;17;5-428-222-2014;Mixto / Nación / Préstamo BIRF 8706-AR
Conector Ambiental Iriarte;Conector Ambiental Iriarte;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;tipologí­a de calle con importante presencia de vegetación. forma parte de una red que permite conectar el conjunto de espacios verdes de la ciudad.;10984180.00;4;parque patricios;velez sarsfield av. y alcorta, amancio av.;2015-02-03;2017-07-28;29;100;Altote S.A;2014;Licitación Pública;1526/2014;30707431896;12;1526-2014;Mixto Nación / Préstamo BID AR-L1260
Parque Olí­mpico;Parque Olí­mpico: Cubierta Arena Parque Roca.;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categorí­a a áreas históricamente relegadas, se construyó el techo corredizo para el estadio parque roca. dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situación del clima. la capacidad aumentó de 14.500 a 15.500 espectadores, además, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el estadio parque roca fue una de las sedes donde se desarrollaron los juegos olí­mpicos de la juventud 2018.;103608164.00;8;villa soldati;autopista presidente hector j. campora y 27 de febrero av.;2013-12-26;2018-09-15;57;100;Teximco S.A. - Dal Constructora. S.A. Ute;2013;Licitación Pública;1.723/2013;30714751979;30;1-443-586-2013;Nación
Metrobus del Bajo;Metrobus Del Bajo: Paradores - Etapa I;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;el metrobus del bajo comprende un corredor vial de 4,8 kilómetros sobre las av. leandro n. alem y av. paseo colón que une los barrios de retiro y la boca. el proyecto se inserta dentro del plan de movilidad sustentable en el cual contempló el rediseño del espacio para darle prioridad al transporte público, la promoción de la movilidad sustentable, el ordenamiento, la seguridad vial y la introducción de tecnologí­as que permiten brindar información en tiempo real. su puesta en funcionamiento redujo un 30 % el tiempo de viaje de las 30 lí­neas de colectivos que prestan servicio a más de 300.000 personas por dí­a.;229538623.00;1;montserrat;yrigoyen, hipolito av. y paseo colon av.;2017-02-15;2017-07-15;5;100;Riva S.A;2016;Licitación Pública;1224-SIGAF/16;33504596309;350;24-603-091-DGTMBR-2016;GCBA
Acumar;Camino De Sirga II;Finalizada;Hidráulica e Infraestructura;Secretarí­a de Transporte y Obras Públicas;la segunda etapa del camino de sirga se centró en liberar y volver transitable y accesible el margen del riachuelo entre las calles vieytes y av. sáenz. se recuperó para el uso público en ví­as de cumplimentar con lo enunciado en el plan urbano ambiental, donde se indican los rasgos fundamentales que deben desarrollar la ciudad de buenos aires y los principales lineamientos para garantizar el alcance de dichos rasgos. se propuso un parque lineal con un camino vehicular enfocado al tránsito recreativo de las personas, involucrando la construcción de un paseo ribereño, bicisendas, espacios verdes, alumbrado y equipamiento general.;40774370.00;4;barracas;zavaleta e iriarte, gral. av.;2013-01-08;2017-05-31;52;100;Bricons S.A.I.C.F.I.;2012;Licitación Pública;2278/2012;30541068151;23;1-630-472-2012;Nación
Metrobus Norte;Metrobus Norte: Metrobus Cabildo II;Finalizada;Transporte;Secretarí­a de Transporte y Obras Públicas;la traza de la segunda etapa del metrobus norte comienza en franklin roosevelt, como continuación del primer tramo y finaliza en santos dumont. hay paradores en gran parte de la extensión del corredor, a excepción de las cuadras entre juramento y echeverrí­a, la pampa y josé hernández, y teodoro garcí­a y federico lacroze. en total, se trató de 5 estaciones, con 22 paradores. es el séptimo corredor de la red de metrobus caba, que tiene una extensión de 2.7 km y revitalizó los barrios de belgrano, colegiales y palermo.;139861846.00;13;belgrano;cabildo av. y pino, virrey del;2016-01-08;2017-05-31;16;100;Bricons S.A.I.C.F.I.;2016;Licitación Pública;294-SIGAF/16;30541068151;73;10-508-702- MGEYA-DGTMBR-2016;Nación / Fuente 14
