tipo,nombre,etapa,area_responsable,descripcion,monto_contrato,barrio,comuna,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,cuit_contratista,licitacion_anio,contratacion_tipo,nro_contratacion,mano_obra,expediente-numero,financiamiento
Vivienda,Villa Olí­mpica: Viviendas VII,Finalizada,Secretarí­a de Transporte y Obras Públicas,la licitación nº 7 contempló la construcción de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,123691183.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-25,2017-10-31,20,100.0,Cunumi S.A,30615748036,2015,Licitación Pública,449/2015,indeterminado,7.482.410-mgeya-dgpuya-2015,indeterminado
Vivienda,Villa Olí­mpica: Viviendas VIII,Finalizada,Secretarí­a de Transporte y Obras Públicas,la licitación nº 8 contempló la construcción de 4 edificios que fueron destinados a los juegos olí­mpicos. se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.,174609630.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-11-15,21,100.0,Constructora Sudamericana S.A.,30610895456,2015,Licitación Pública,528/2015,indeterminado,7.483.365-mgeya-dgpuya-2015,indeterminado
Vivienda,Villa Olí­mpica: Viviendas X,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la licitación nº 10 completó el grupo de licitaciones de viviendas para los juegos olí­mpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los juegos olimpicos. además, se construyerón aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.",98174265.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-04-28,2017-12-31,20,100.0,Vidogar Construcciones S.A,30553433564,2015,Licitación Pública,573/2015,indeterminado,12.808.238-mgeya-dgpuya-2015,indeterminado
Vivienda,Villa Olí­mpica: Viviendas I,Finalizada,Secretarí­a de Transporte y Obras Públicas,la licitación nº 1 contempló la construcción de 3 edificios de uso mixto. se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.,154853715.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2015-06-01,2017-12-20,30,100.0,Cavcon S.A.,33707292259,2015,Licitación Pública,1876/2014,indeterminado,15282589-dgpuya/2d14,indeterminado
Vivienda,Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios Villa Olí­mpica,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la provisión y colocación de equipamiento en las cocinas, sum, espacios de parrilla, lavaderos y locales de los 29 edificios de villa olí­mpica",58565032.0,villa lugano,8,escalada av. 4200,2018-08-07,2019-05-04,9,100.0,CALELLO HERMANOS SA,30500716858,2018,Licitación Pública,04-CBAS-2018,indeterminado,indeterminado,indeterminado
Espacio Público,"Parque Olí­mpico: Demolición total, extracción y trasplante de árboles, cerco perimetral",Finalizada,Secretarí­a de Transporte y Obras Públicas,"se procedió a la contrucción de un cerco olí­mpico perimetral que ayudó a delimitar el área de intervención, resguardando la ejecución de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. además, incluyó también las tareas de demolición de los edificios y equipamientos obsoletos existentes, la extracción y trasplante de los árboles y arbustos dentro del mismo predio.",48590604.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2016-12-28,2017-03-30,3,100.0,Salvatori S.A Parques Y Jardines,30512700124,2016,Licitación Pública,880-SIGAF/16,indeterminado,20515970-dgiurb-2016,indeterminado
Hidráulica e Infraestructura,"Parque Olí­mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.",Finalizada,Secretarí­a de Transporte y Obras Públicas,"se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagí¼es cloacales, desagí¼es pluviales y red de gas para los pabellones y equipamientos deportivos del parque olí­mpico.",42340809.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2017-01-30,2018-04-16,15,100.0,Tecma S.A.,30623866528,2016,Licitación Pública,1032-SIGAF/16,indeterminado,20.669.375-dgiurb-2016,indeterminado
Arquitectura,Parque Olí­mpico: Pabellones A1 Y A2.,Finalizada,Secretarí­a de Transporte y Obras Públicas,se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.,194988604.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2017-02-15,2017-12-31,10,100.0,Constructora Sudamericana S.A.,30610895456,2016,Licitación Pública,1192-SIGAF/16,indeterminado,2016-24004377-mgeya-dgiurb,indeterminado
Arquitectura,Parque Olí­mpico: Pabellones A3 Y A4.,Finalizada,Secretarí­a de Transporte y Obras Públicas,se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los juegos olí­mpicos.,168646366.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2017-02-15,2018-01-12,11,100.0,Criba S.A.,30505454436,2016,Licitación Pública,1191-SIGAF/16,indeterminado,ex-2016-24004750-mgeya-dgiurb,indeterminado
Espacio Público,"Parque Olí­mpico: Espacio público, equipamiento deportivo exterior",Finalizada,Secretarí­a de Transporte y Obras Públicas,"se contempló la reacondición y modernización del espacio público y equipamiento deportivo exterior. las áreas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. además, se puso en valor el pórtico de acceso al parque olí­mpico, la construcción de una cabina de control con su sector de servicios y la rehabilitación de la torre tanque acondicionada e incluida al sistema de protección contra incendios.",349706395.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2017-06-07,2018-10-30,16,100.0,Conorvial S.A,33504596309,2017,Licitación Pública,266/2017,indeterminado,27359314-dgiurb-2016,indeterminado
Arquitectura,Parque Olí­mpico: Pabellón C.,Finalizada,Secretarí­a de Transporte y Obras Públicas,"se realizaron obras en el pabellón c que consistieron en la ejecución del complejo natatorio, incluyendo una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realización de las competencias, sala de cronometraje, sanitarios, salas de musculación y preparación de deportistas, salas de máquinas y gradas para espectadores.",508091151.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2017-04-25,2018-06-30,14,100.0,Niro Construcciones S.A.,33588171979,2017,Licitación Pública,36/ 2017,indeterminado,ex-2016- 25.688.941í¢ââmgeya-dgiurb,indeterminado
Arquitectura,Villa Olimpica: Ejecución Baños En Locales Comerciales En Edificios Villa Olí­mpica,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la ejecución de seis núcleos sanitarios en sector de locales comerciales en cinco de los edificios de villa olí­mpica,1686743.0,villa lugano,8,escalada av. 4200,2018-11-19,2019-01-19,2,100.0,Bosquimano S.A,30711470022,2018,Contratación Directa,54-CBAS-2018,indeterminado,indeterminado,indeterminado
Arquitectura,Villa Olimpica: Readecuación  Locales Planta Baja Edificios UG7 Villa Olí­mpica,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la readecuación de locales de planta baja en edifio ug7 de villa olí­mpica,3118410.0,villa lugano,8,escalada av. 4200,2019-02-05,2019-04-06,1,100.0,CM CONSTRUCCIONES SA,30714322660,2019,Contratación Directa,57-CBAS-2018,indeterminado,indeterminado,indeterminado
Vivienda,Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olí­mpica,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la provisión y colocación de equipamiento de cocina en los edificios ug7 p3 y p4 - villa olí­mpica,6595600.0,villa lugano,8,escalada av. 4200,2019-01-02,2019-02-11,6,100.0,MIAVASA SA,30677303863,2019,Licitación Privada,01-CBAS-2018,indeterminado,indeterminado,indeterminado
Arquitectura,Parque Olí­mpico: Pabellón B.,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la obra consistió en la construcción del pabellón c que albergó a la competencia de gimnasia artí­stica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, baños generales, oficinas y los espacios necesarios de logí­stica, enfermerí­a y doping.",283389377.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2017-08-05,2018-06-30,10,100.0,Criba S.A.,30505454436,2017,Licitación Pública,35 /17,indeterminado,24.005.383-dgiurb-2016,indeterminado
Hidráulica e Infraestructura,Parque Olí­mpico: Infraestructura eléctrica.,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la licitación contempló el reacondicionamiento y modernización de las instalaciones existentes en el parque olí­mpico y la ejecución de la nueva red para la distribución de energí­a de los pabellones y edificios administrativos. la obra incluyó una sub estación de entrada de energí­a, grupo electrógeno de emergencia, transformadores elevadores de tensión e instalaciones de alimentación en los edificios.",54936733.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2017-02-13,2018-05-30,15,100.0,Urban Baires S.A.,30711290075,2016,Licitación Pública,1035-SIGAF/16,indeterminado,ex-2016- 20669799-dgiurb,indeterminado
Espacio Público,"Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M",Finalizada,Corporación Buenos Aires Sur,la obra consiste en la nivelación de los terrenos que se encuentran conformados por el espacio urbano de la villa olí­mpica,13671988.0,villa lugano,8,escalada av. 4200,2018-08-06,2018-11-04,3,100.0,MIAVASA SA,30677303863,2018,Contratación Directa,45-CBAS-2018,indeterminado,indeterminado,indeterminado
Arquitectura,Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de los edificio ug1-ug2-ug3-ug4 ug5 y ug7 de la villa olí­mpica.",150333723.0,villa lugano,8,escalada av. 4200,2018-11-30,2019-05-29,6,100.0,CM CONSTRUCCIONES SA,30714322660,2018,Contratación Directa,41-CBAS-2018,indeterminado,indeterminado,indeterminado
Transporte,Paseo Del Bajo: Tramo A - Viaductos,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la realización de esta obra significó una organización vial que mejoró sustancialmente la circulación de mas de 25.000 vehí­culos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminación visual sonora y del aire y aumentando la seguridad vehicular y de peatones. esta obra tiene más de 6 kilómetros de extensión que conecta el sur con el norte de la ciudad. se encuentra ubicada entre las calles alicia moreau de justo y madero-huergo, y luego en la zona de retiro circulando por av. ramos mejí­a, antártida argentina y castillo. al costado de la trinchera para vehí­culos pesados<sobre las avenidas alicia moreau de justo y madero-huergo, se ubican los carriles para tránsito liviano. hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad máxima de 60 y dos de 40 kilómetros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. el í¢ââpaseo del bajo"" contempló además la creación de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos í¢ââíâ´parque lezamaí¢ââ y que están ubicados a los costados de los carriles para vehí­culos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. además, se crearon nuevas cicloví­as para facilitar el acceso y fomentar la recreación y la movilidad sustentable en la zona.",1547000000.0,puerto madero,1,"huergo, ing. av. y garay, juan de av.",2017-01-02,2019-08-30,31,100.0,CORSAN CORVIAM CONSTRUCCION SA,30710216386,2016,Licitación Pública,2016-01-0007-00,indeterminado,indeterminado,indeterminado
Transporte,Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur,Finalizada,Secretarí­a de Transporte y Obras Públicas,"el tramo b del proyecto contempló el recorrido desde el viaducto sur que conecta con las autopistas 25 de mayo y buenos aires-la plata hasta el comienzo del tramo c en cercaní­as al parque central. se desarrolló en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes.",1640500000.0,puerto madero,1,"huergo, ing. av. y garay, juan de av.",2017-01-02,2019-04-30,27,100.0,Green Seosa Pbt Ute,30715467999,2016,Licitación Pública,2016-01-0008-00,indeterminado,indeterminado,indeterminado
Transporte,Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte,Finalizada,Secretarí­a de Transporte y Obras Públicas,"el tramo c se desarrolló desde el final del tramo b en cercaní­as del parque central hasta el comienzo del viaducto norte en el área de retiro. el primer tramo, al igual que el tramo b, se llevó a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. la segunda parte, a la altura de la plaza cañada en retiro, se llevó a cabo a nivel.",3183200000.0,puerto madero,1,"huergo, ing. av. y garay, juan de av.",2017-02-01,2019-04-25,26,100.0,Iecsa - Fontana Nicastro Ute,30715471457,2016,Licitación Pública,2016-01-0009-00,indeterminado,indeterminado,indeterminado
Hidráulica e Infraestructura,Ramal Austria I,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la obra consistió en un conducto de cuatro metros de diámetro realizado mediante la metodologí­a de túnel de excavación manual con revestimiento metálico tipo linner, que en su primera etapa de ejecución se complementó con ocho cámaras de ataque de 4 metros de diámetro ejecutadas con la misma tecnologí­a.",75368613.0,recoleta,2,"del libertador av. y figueroa alcorta, pres. av.",2015-05-26,2018-01-30,32,100.0,Tecma S.A.,30623866528,2015,nan,,50,indeterminado,indeterminado
Hidráulica e Infraestructura,Ramal Caaguazú -Ampliación Red Pluvial VII,Finalizada,Secretarí­a de Transporte y Obras Públicas,"los trabajos de la obra hidráulica del ramal caaguazú consistieron en la ampliación de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre av. rivadavia y calle yerbal. constó de dos conductos: el primero se inició en la esquina de la calle yerbal y recorre las calles yerbal y urdaneta hasta av. rivadavia. la segunda comenzó en la esquina de caaguazú desde oliden, pasando por calle ramon l. falcón.",69200043.0,liniers,9,"oliden y falcon, ramon l.,cnel.",2016-07-28,2018-04-30,21,100.0,SES S.A. - CONSTRUERE INGENIERIA S.A. - RED VII - UNION TRANSITORIA DE EMPRESAS,30715243489,2016,nan,,indeterminado,indeterminado,indeterminado
Hidráulica e Infraestructura,Ramal Escalada -Ampliación Red Pluvial VI,Finalizada,Secretarí­a de Transporte y Obras Públicas,"se realizó una obra de mejoramiento y readecuación de la red pluvial vi, para el mejor escurrimiento de las precipitaciones en la comuna 8.",52685356.0,villa riachuelo,8,"fernandez de la cruz, f., gral. av. y suarez, jose leon",2016-08-22,2017-12-10,16,100.0,Altote S.A. - Naku Construcciones S.R.L. - (Ute),30712263454,2015,nan,,indeterminado,indeterminado,indeterminado
Hidráulica e Infraestructura,Red Pluvial IV: Ampliación,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la obra consistió en la ejecución de conductos circulares con respectivas cámaras, sumideros, nexos y demás componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captación pluvial, complementarios al plan director de ordenamiento hidráulico.",24536126.0,coghlan,12,"quesada y perez, roque",2014-06-16,2016-10-31,28,100.0,Altote S.A. - Naku Construcciones S.R.L. - (Ute),30712263454,2013,Licitación Pública,2529/2013,17,2769136/2013,indeterminado
Arquitectura,Centro de Exposiciones y Convenciones,Finalizada,Secretarí­a de Transporte y Obras Públicas,"el equipamiento metropolitano del centro de exposiciones y convenciones se proyectó a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al parque thays y la plaza de las naciones unidas, formando un gran parque público. se ubica en el predio de av. figueroa alcorta al lado de la facultad de derecho constituyendo un enclave estratégico de la ciudad de buenos aires dada su localización y su potencialidad simbólica y espacial. el edificio tiene capacidad para 5.000 asistentes y está conformado por una sala plenaria y otras salas auxiliares divisibles. también cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehí­culos y un foyer de 1.600 míâ². a su vez, tiene acceso a la estación facultad de derecho de la lí­nea h.",313660000.0,recoleta,2,"couture, eduardo j. y vaz ferreira, carlos, dr.",2014-12-20,2017-04-30,28,100.0,C.R.I.B.A. SA - MEJORES HOSPITALES SA - UNION TRANSITORIA DE EMPRESAS,30714365440,2013,Licitación Pública,2.594/2013,170,4.150.195/2013,indeterminado
Arquitectura,Edificio Lezama: Obra Civil,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la obra del palacio lezama se integró dentro del plan de descentralización administrativa del gobierno porteño al sur de la ciudad. el edificio es patrimonio histórico de la ciudad y un hito de la memoria urbana del barrio de barracas que se encuentra ubicado sobre la av. martí­n garcí­a, entre la calle irala y av. regimiento de los patricios. posee una superficie aproximada de 30.000 m2 distribuidos en planta baja y 6 pisos, con acceso de vehí­culos por calle pilcomayo. fue remodelado y restaurado í­ntegramente, restaurando la fachada original para satisfacer los requerimientos tecnológicos, funcionales y de seguridad de las dependencias que trabajaban allí­. el edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al ministerio de modernización, ministerio de desarrollo urbano y transporte, ministerio de ambiente y espacio público y sindicatura general.",52831053.0,la boca,4,"garcia, martin av. 346",2015-03-13,2016-12-30,21,100.0,SES SA,30647727545,2014,Licitación Pública,1816/SIGAF/2014,60,indeterminado,indeterminado
Hidráulica e Infraestructura,Arroyo Vega - Mejora de la Eficiencia Hidraulica,Finalizada,Secretarí­a de Transporte y Obras Públicas,"se llevó adelante la obra que implicó entabicar las columnas y las vigas para la mejora de la eficiencia hidráulica del conducto, asegurando el desplazamiento del fluido de la manera más eficaz posible. la obra se ejecutó entre las calles 11 de septiembre y balbí­n, bajo la calle blanco encalada.",20356959.0,belgrano,13,av. rafael obligado 6125,2014-12-22,2016-09-30,21,100.0,Tecma S.A.,30623866528,2014,Licitación Pública,1459/2014,17,5.428.222/2014,indeterminado
Espacio Público,Conector Ambiental Iriarte,Finalizada,Secretarí­a de Transporte y Obras Públicas,tipologí­a de calle con importante presencia de vegetación. forma parte de una red que permite conectar el conjunto de espacios verdes de la ciudad.,10984180.0,parque patricios,4,"velez sarsfield av. y alcorta, amancio av.",2015-02-03,2017-07-28,29,100.0,Altote S.A,30707431896,2014,Licitación Pública,1526/2014,12,indeterminado,indeterminado
Arquitectura,Parque Olí­mpico: Cubierta Arena Parque Roca.,Finalizada,Secretarí­a de Transporte y Obras Públicas,"como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categorí­a a áreas históricamente relegadas, se construyó el techo corredizo para el estadio parque roca. dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situación del clima. la capacidad aumentó de 14.500 a 15.500 espectadores, además, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el estadio parque roca fue una de las sedes donde se desarrollaron los juegos olí­mpicos de la juventud 2018.",103608164.0,villa soldati,8,autopista presidente hector j. campora y 27 de febrero av.,2013-12-26,2018-09-15,57,100.0,Teximco S.A. - Dal Constructora. S.A. Ute,30714751979,2013,Licitación Pública,1.723/2013,30,1.443.586/2013,indeterminado
Transporte,Metrobus Del Bajo: Paradores - Etapa I,Finalizada,Secretarí­a de Transporte y Obras Públicas,"el metrobus del bajo comprende un corredor vial de 4,8 kilómetros sobre las av. leandro n. alem y av. paseo colón que une los barrios de retiro y la boca. el proyecto se inserta dentro del plan de movilidad sustentable en el cual contempló el rediseño del espacio para darle prioridad al transporte público, la promoción de la movilidad sustentable, el ordenamiento, la seguridad vial y la introducción de tecnologí­as que permiten brindar información en tiempo real. su puesta en funcionamiento redujo un 30 % el tiempo de viaje de las 30 lí­neas de colectivos que prestan servicio a más de 300.000 personas por dí­a.",229538623.0,montserrat,1,"yrigoyen, hipolito av. y paseo colon av.",2017-02-15,2017-07-15,5,100.0,Riva S.A,33504596309,2016,Licitación Pública,1224-SIGAF/16,350,24.603.091-dgtmbr-2016,indeterminado
Hidráulica e Infraestructura,Camino De Sirga II,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la segunda etapa del camino de sirga se centró en liberar y volver transitable y accesible el margen del riachuelo entre las calles vieytes y av. sáenz. se recuperó para el uso público en ví­as de cumplimentar con lo enunciado en el plan urbano ambiental, donde se indican los rasgos fundamentales que deben desarrollar la ciudad de buenos aires y los principales lineamientos para garantizar el alcance de dichos rasgos. se propuso un parque lineal con un camino vehicular enfocado al tránsito recreativo de las personas, involucrando la construcción de un paseo ribereño, bicisendas, espacios verdes, alumbrado y equipamiento general.",40774370.0,barracas,4,"zavaleta e iriarte, gral. av.",2013-01-08,2017-05-31,52,100.0,Bricons S.A.I.C.F.I.,30541068151,2012,Licitación Pública,2278/2012,23,1.630.472/2012,indeterminado
Transporte,Metrobus Norte: Metrobus Cabildo II,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la traza de la segunda etapa del metrobus norte comienza en franklin roosevelt, como continuación del primer tramo y finaliza en santos dumont. hay paradores en gran parte de la extensión del corredor, a excepción de las cuadras entre juramento y echeverrí­a, la pampa y josé hernández, y teodoro garcí­a y federico lacroze. en total, se trató de 5 estaciones, con 22 paradores. es el séptimo corredor de la red de metrobus caba, que tiene una extensión de 2.7 km y revitalizó los barrios de belgrano, colegiales y palermo.",139861846.0,belgrano,13,"cabildo av. y pino, virrey del",2016-01-08,2017-05-31,16,100.0,Bricons S.A.I.C.F.I.,30541068151,2016,Licitación Pública,294-SIGAF/16,indeterminado,10.508.702- mgeya-dgtmbr-2016,indeterminado
Transporte,Metrobus Norte: Centro de Transbordo Pací­fico,Finalizada,Secretarí­a de Transporte y Obras Públicas,"se ejecutaron paradores linderos a los carriles exclusivos para buses, que funcionan como punto de transbordo de pasajeros. está ubicado sobre la av. santa fe entre las calles carranza y thames, con una extensión de 1,1 km, 22 lí­neas de colectivos con 375 servicios promedio por hora y cuenta con 11 paradores, mejorando la experiencia de viaje de más de 120 mil personas todos los dí­as.",71823848.0,palermo,14,"santa fe av. y justo, juan b. av.",2016-08-24,2016-11-24,3,100.0,Construcciones Ingevial S.A.,30650833380,2016,Licitación Pública,447-SIGAF/16,indeterminado,12.403.925- mgeya-dgtmbr-2016,indeterminado
